aggregatable,aiPredictionField,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,formulaTreatNullNumberAsZero,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,True,,Account ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Master Record ID,18,,,MasterRecordId,False,False,True,False,[],False,0,False,,['Account'],MasterRecord,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,False,765,False,,False,False,Name,,True,False,,,False,False,False,0,False,False,False,switchablepersonname,True,,False,True,False,False,False,,Account Name,255,,,Name,True,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,240,False,,False,False,Name,,True,False,,,False,False,False,0,False,False,False,switchablepersonname,True,,False,True,False,False,False,,Last Name,80,,,LastName,True,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,120,False,,False,False,Name,,True,False,,,False,False,False,0,False,False,False,switchablepersonname,True,,False,True,False,False,False,,First Name,40,,,FirstName,True,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,120,False,,False,False,Name,,True,False,,,False,False,False,0,False,False,False,switchablepersonname,True,,False,True,False,False,False,,Salutation,40,,,Salutation,False,False,True,False,"[OrderedDict({'active': True, 'defaultValue': False, 'label': 'Mr.', 'validFor': None, 'value': 'Mr.'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Ms.', 'validFor': None, 'value': 'Ms.'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Mrs.', 'validFor': None, 'value': 'Mrs.'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Dr.', 'validFor': None, 'value': 'Dr.'})]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
True,False,False,765,False,,False,False,,,True,False,Contractor,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Account Type,255,,,Type,False,False,True,True,"[OrderedDict({'active': True, 'defaultValue': False, 'label': 'Analyst', 'validFor': None, 'value': 'Analyst'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Competitor', 'validFor': None, 'value': 'Competitor'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Customer', 'validFor': None, 'value': 'Customer'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Integrator', 'validFor': None, 'value': 'Integrator'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Investor', 'validFor': None, 'value': 'Investor'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Partner', 'validFor': None, 'value': 'Partner'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Press', 'validFor': None, 'value': 'Press'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Prospect', 'validFor': None, 'value': 'Prospect'}), OrderedDict({'active': True, 'defaultValue': True, 'label': 'Contractor', 'validFor': None, 'value': 'Contractor'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Other', 'validFor': None, 'value': 'Other'})]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
True,False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Record Type ID,18,,,RecordTypeId,False,False,True,False,[],False,0,False,,['RecordType'],RecordType,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,False,765,False,,False,False,BillingAddress,,True,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,True,False,False,False,,Billing Street,255,,,BillingStreet,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,True,False
