InvoiceID,StatusCode,ErrorMessage,FullResponse
121739,400,The address value was incomplete.,"{""error"":{""code"":""InvalidAddress"",""message"":""The address value was incomplete."",""target"":""IncorrectData"",""details"":[{""code"":""InvalidAddress"",""number"":309,""message"":""The address value was incomplete."",""description"":""The address value ShipTo was incomplete. You must provide either a valid postal code, line1 + city + region, or line1 + postal code."",""faultCode"":""Client"",""helpLink"":""https://developer.avalara.com/avatax/errors/InvalidAddress"",""severity"":""Error""}]}}"
121811,400,The city could not be determined.,"{""error"":{""code"":""GetTaxError"",""message"":""The city could not be determined."",""target"":""Unknown"",""details"":[{""code"":""GetTaxError"",""number"":300,""message"":""The city could not be determined."",""description"":""The city could not be found or determined from postal code."",""faultCode"":""GetTaxError"",""faultSubCode"":""CityError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-02 00:00:00Z.City"",""severity"":""Error""},{""code"":""GetTaxError"",""number"":300,""message"":""Invalid or missing State/Province. Address is incomplete or invalid."",""description"":""State is invalid for the taxing address."",""faultCode"":""GetTaxError"",""faultSubCode"":""TaxAddressError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-02 00:00:00Z"",""severity"":""Error""}]}}"
121812,400,The city could not be determined.,"{""error"":{""code"":""GetTaxError"",""message"":""The city could not be determined."",""target"":""Unknown"",""details"":[{""code"":""GetTaxError"",""number"":300,""message"":""The city could not be determined."",""description"":""The city could not be found or determined from postal code."",""faultCode"":""GetTaxError"",""faultSubCode"":""CityError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-02 00:00:00Z.City"",""severity"":""Error""},{""code"":""GetTaxError"",""number"":300,""message"":""Invalid or missing State/Province. Address is incomplete or invalid."",""description"":""State is invalid for the taxing address."",""faultCode"":""GetTaxError"",""faultSubCode"":""TaxAddressError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-02 00:00:00Z"",""severity"":""Error""}]}}"
121813,400,The city could not be determined.,"{""error"":{""code"":""GetTaxError"",""message"":""The city could not be determined."",""target"":""Unknown"",""details"":[{""code"":""GetTaxError"",""number"":300,""message"":""The city could not be determined."",""description"":""The city could not be found or determined from postal code."",""faultCode"":""GetTaxError"",""faultSubCode"":""CityError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-02 00:00:00Z.City"",""severity"":""Error""},{""code"":""GetTaxError"",""number"":300,""message"":""Invalid or missing State/Province. Address is incomplete or invalid."",""description"":""State is invalid for the taxing address."",""faultCode"":""GetTaxError"",""faultSubCode"":""TaxAddressError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-02 00:00:00Z"",""severity"":""Error""}]}}"
121825,400,The address value was incomplete.,"{""error"":{""code"":""InvalidAddress"",""message"":""The address value was incomplete."",""target"":""IncorrectData"",""details"":[{""code"":""InvalidAddress"",""number"":309,""message"":""The address value was incomplete."",""description"":""The address value ShipTo was incomplete. You must provide either a valid postal code, line1 + city + region, or line1 + postal code."",""faultCode"":""Client"",""helpLink"":""https://developer.avalara.com/avatax/errors/InvalidAddress"",""severity"":""Error""}]}}"
121834,400,The address value was incomplete.,"{""error"":{""code"":""InvalidAddress"",""message"":""The address value was incomplete."",""target"":""IncorrectData"",""details"":[{""code"":""InvalidAddress"",""number"":309,""message"":""The address value was incomplete."",""description"":""The address value ShipTo was incomplete. You must provide either a valid postal code, line1 + city + region, or line1 + postal code."",""faultCode"":""Client"",""helpLink"":""https://developer.avalara.com/avatax/errors/InvalidAddress"",""severity"":""Error""}]}}"
121849,400,The city could not be determined.,"{""error"":{""code"":""GetTaxError"",""message"":""The city could not be determined."",""target"":""Unknown"",""details"":[{""code"":""GetTaxError"",""number"":300,""message"":""The city could not be determined."",""description"":""The city could not be found or determined from postal code."",""faultCode"":""GetTaxError"",""faultSubCode"":""CityError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-03 00:00:00Z.City"",""severity"":""Error""},{""code"":""GetTaxError"",""number"":300,""message"":""Invalid or missing State/Province. Address is incomplete or invalid."",""description"":""State is invalid for the taxing address."",""faultCode"":""GetTaxError"",""faultSubCode"":""TaxAddressError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-03 00:00:00Z"",""severity"":""Error""}]}}"
121926,400,Address not geocoded.,"{""error"":{""code"":""GetTaxError"",""message"":""Address not geocoded."",""target"":""Unknown"",""details"":[{""code"":""GetTaxError"",""number"":300,""message"":""Address not geocoded."",""description"":""Address cannot be geocoded."",""faultCode"":""GetTaxError"",""faultSubCode"":""AddressNotGeocodedError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-03 00:00:00Z"",""severity"":""Error""},{""code"":""GetTaxError"",""number"":300,""message"":""The address number is out of range"",""description"":""The address was found but the street number in the input address was not between the low and high range of the post office database."",""faultCode"":""GetTaxError"",""faultSubCode"":""AddressRangeError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-03 00:00:00Z.Line0"",""severity"":""Error""}]}}"
122161,400,The address value was incomplete.,"{""error"":{""code"":""InvalidAddress"",""message"":""The address value was incomplete."",""target"":""IncorrectData"",""details"":[{""code"":""InvalidAddress"",""number"":309,""message"":""The address value was incomplete."",""description"":""The address value ShipTo was incomplete. You must provide either a valid postal code, line1 + city + region, or line1 + postal code."",""faultCode"":""Client"",""helpLink"":""https://developer.avalara.com/avatax/errors/InvalidAddress"",""severity"":""Error""}]}}"
122270,400,The city could not be determined.,"{""error"":{""code"":""GetTaxError"",""message"":""The city could not be determined."",""target"":""Unknown"",""details"":[{""code"":""GetTaxError"",""number"":300,""message"":""The city could not be determined."",""description"":""The city could not be found or determined from postal code."",""faultCode"":""GetTaxError"",""faultSubCode"":""CityError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-09 00:00:00Z.City"",""severity"":""Error""},{""code"":""GetTaxError"",""number"":300,""message"":""Invalid or missing State/Province. Address is incomplete or invalid."",""description"":""State is invalid for the taxing address."",""faultCode"":""GetTaxError"",""faultSubCode"":""TaxAddressError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-07-09 00:00:00Z"",""severity"":""Error""}]}}"
