activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,,,False,False,False,False,False,False,False,False,False,False,0Pp,AI Application,AI Applications,False,False,False,AIApplication,True,False,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AIApplication/{ID}', 'describe': '/services/data/v59.0/sobjects/AIApplication/describe', 'sobject': '/services/data/v59.0/sobjects/AIApplication'})"
False,,,False,False,False,False,False,False,False,False,False,False,6S9,AI Application config,AI Application configs,False,False,False,AIApplicationConfig,True,False,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AIApplicationConfig/{ID}', 'describe': '/services/data/v59.0/sobjects/AIApplicationConfig/describe', 'sobject': '/services/data/v59.0/sobjects/AIApplicationConfig'})"
False,,,False,False,False,False,False,False,False,False,False,False,9qd,AI Insight Action,AI Insight Actions,False,False,False,AIInsightAction,True,True,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AIInsightAction/{ID}', 'describe': '/services/data/v59.0/sobjects/AIInsightAction/describe', 'sobject': '/services/data/v59.0/sobjects/AIInsightAction'})"
False,,,False,False,False,False,False,False,False,False,False,False,9bq,AI Insight Feedback,AI Insight Feedbacks,False,False,False,AIInsightFeedback,True,True,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AIInsightFeedback/{ID}', 'describe': '/services/data/v59.0/sobjects/AIInsightFeedback/describe', 'sobject': '/services/data/v59.0/sobjects/AIInsightFeedback'})"
False,,,False,False,False,False,False,False,False,False,False,False,0T2,AI Insight Reason,AI Insight Reasons,False,False,False,AIInsightReason,True,True,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AIInsightReason/{ID}', 'describe': '/services/data/v59.0/sobjects/AIInsightReason/describe', 'sobject': '/services/data/v59.0/sobjects/AIInsightReason'})"
False,,,False,False,False,False,False,False,False,False,False,False,9qc,AI Insight Value,AI Insight Values,False,False,False,AIInsightValue,True,True,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AIInsightValue/{ID}', 'describe': '/services/data/v59.0/sobjects/AIInsightValue/describe', 'sobject': '/services/data/v59.0/sobjects/AIInsightValue'})"
False,,,False,False,False,False,False,False,False,False,False,False,0ae,AI Prediction Event,AI Prediction Events,False,False,False,AIPredictionEvent,False,False,False,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AIPredictionEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/AIPredictionEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/AIPredictionEvent/describe', 'sobject': '/services/data/v59.0/sobjects/AIPredictionEvent'})"
False,,,False,False,False,False,True,False,False,False,False,False,9qb,AI Record Insight,AI Record Insights,False,False,False,AIRecordInsight,True,True,True,False,True,True,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AIRecordInsight/{ID}', 'describe': '/services/data/v59.0/sobjects/AIRecordInsight/describe', 'sobject': '/services/data/v59.0/sobjects/AIRecordInsight'})"
False,ChangeEvent,APXT_BPM__Conductor__c,False,False,False,False,False,False,False,False,False,False,,Change Event: Conga Conductor,Change Event: Conga Conductor,False,False,False,APXT_BPM__Conductor__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__ChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__ChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__ChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__ChangeEvent'})"
False,,,True,True,False,False,True,False,False,False,False,False,a0q,Conga Conductor,Conga Conductors,True,False,True,APXT_BPM__Conductor__c,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__c/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__c/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__c/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__c/describe', 'quickActions': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__c/quickActions', 'layouts': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__c/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/APXT_BPM__Conductor__c'})"
